Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
420,Cedric Simmons,23,CHI,PF,11,0,5.5,1.0,1.9,.524,0.0,0.0,,1.0,1.9,.524,.524,0.5,1.3,.429,0.4,0.7,1.1,0.2,0.1,0.4,0.0,0.5,2.5,,simmoce01
420,Cedric Simmons,23,SAC,PF,7,0,3.3,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.1,0.3,.500,0.1,0.4,0.6,0.0,0.0,0.0,0.3,0.3,0.1,,simmoce01
421,Sonny Weems,22,DEN,SG,12,0,4.6,0.7,2.1,.320,0.0,0.3,.000,0.7,1.8,.364,.320,0.3,0.7,.375,0.0,0.3,0.3,0.3,0.1,0.0,0.5,0.7,1.6,,weemsso01
422,Jarron Collins,30,UTA,C,26,3,7.7,0.6,1.3,.457,0.0,0.0,,0.6,1.3,.457,.457,0.3,0.4,.727,0.8,0.7,1.4,0.3,0.1,0.0,0.3,1.3,1.5,,collija03
423,Thomas Gardner,23,ATL,SG,16,0,6.1,0.6,2.3,.250,0.3,1.4,.174,0.3,0.8,.385,.306,0.1,0.3,.500,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,1.5,,gardnth01
424,Othello Hunter,22,ATL,PF,16,0,5.8,0.7,1.3,.550,0.0,0.0,,0.7,1.3,.550,.550,0.0,0.3,.000,0.6,0.9,1.5,0.1,0.1,0.3,0.1,0.7,1.4,,hunteot01
425,Lorenzen Wright,33,CLE,C,17,2,7.4,0.6,1.6,.370,0.0,0.0,,0.6,1.6,.370,.370,0.2,0.5,.375,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.0,1.4,,wrighlo02
426,Chuck Hayes,25,HOU,C,71,1,12.1,0.6,1.6,.372,0.0,0.1,.000,0.6,1.5,.385,.372,0.1,0.3,.368,1.0,2.5,3.5,0.6,0.5,0.3,0.4,1.9,1.3,,hayesch01
427,Marcus Williams,23,GSW,PG,9,0,6.0,0.4,1.9,.235,0.2,0.7,.333,0.2,1.2,.182,.294,0.2,0.7,.333,0.0,0.4,0.4,1.4,0.1,0.1,0.4,0.7,1.3,,willima03
428,Jawad Williams,25,CLE,SF,10,0,2.0,0.5,1.2,.417,0.2,0.6,.333,0.3,0.6,.500,.500,0.0,0.0,,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.2,1.2,,willija04
429,Andre Brown,27,CHA,PF,4,0,10.3,0.3,1.8,.143,0.0,0.0,,0.3,1.8,.143,.143,0.5,0.5,1.000,1.8,1.3,3.0,0.3,0.3,0.0,1.3,2.3,1.0,,brownan01
430,Trey Johnson,24,CLE,SG,4,0,3.5,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,1.0,1.0,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.3,1.0,1.0,,johnstr01
431,Walter Sharpe,22,DET,PF,8,0,2.5,0.5,1.4,.364,0.0,0.3,.000,0.5,1.1,.444,.364,0.0,0.3,.000,0.0,0.4,0.4,0.0,0.0,0.3,0.0,0.4,1.0,,sharpwa01
432,Linton Johnson,28,2TM,PF,10,0,5.5,0.4,1.1,.364,0.1,0.2,.500,0.3,0.9,.333,.409,0.0,0.0,,0.3,0.5,0.8,0.2,0.1,0.0,0.2,0.7,0.9,,johnsli01
432,Linton Johnson,28,CHA,PF,2,0,6.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,johnsli01
432,Linton Johnson,28,CHI,PF,8,0,5.3,0.5,1.4,.364,0.1,0.3,.500,0.4,1.1,.333,.409,0.0,0.0,,0.4,0.6,1.0,0.3,0.1,0.0,0.3,0.8,1.1,,johnsli01
433,Hassan Adams,24,TOR,SG,12,0,4.3,0.3,1.1,.308,0.0,0.0,,0.3,1.1,.308,.308,0.3,0.5,.500,0.1,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9,,adamsha01
434,Jake Voskuhl,31,TOR,C,38,1,6.3,0.3,1.2,.267,0.0,0.0,,0.3,1.2,.267,.267,0.3,0.4,.786,0.6,1.0,1.6,0.2,0.1,0.1,0.4,1.6,0.9,,voskuja01
435,Cheikh Samb,24,3TM,C,18,0,4.6,0.3,1.8,.188,0.0,0.2,.000,0.3,1.6,.207,.188,0.2,0.4,.429,0.6,0.8,1.3,0.1,0.2,0.6,0.2,0.4,0.8,,sambch01
435,Cheikh Samb,24,DEN,C,6,0,4.0,0.3,2.2,.154,0.0,0.2,.000,0.3,2.0,.167,.154,0.0,0.0,,0.3,1.2,1.5,0.2,0.3,0.8,0.3,0.7,0.7,,sambch01
435,Cheikh Samb,24,LAC,C,10,0,5.1,0.4,1.6,.250,0.0,0.2,.000,0.4,1.4,.286,.250,0.3,0.5,.600,0.7,0.6,1.3,0.0,0.1,0.5,0.1,0.3,1.1,,sambch01
435,Cheikh Samb,24,NYK,C,2,0,4.0,0.0,1.5,.000,0.0,0.0,,0.0,1.5,.000,.000,0.0,1.0,.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,sambch01
436,Randolph Morris,23,ATL,C,23,0,3.9,0.3,0.7,.412,0.0,0.0,,0.3,0.7,.412,.412,0.2,0.2,1.000,0.2,0.7,0.9,0.1,0.1,0.0,0.3,1.1,0.8,,morrira01
437,Kenny Thomas,31,SAC,PF,8,0,7.8,0.4,1.0,.375,0.0,0.0,,0.4,1.0,.375,.375,0.0,0.0,,0.5,1.4,1.9,0.1,0.8,0.1,0.1,1.1,0.8,,thomake01
438,Mario West,24,ATL,SG,53,3,5.1,0.3,0.6,.412,0.0,0.0,1.000,0.2,0.6,.394,.426,0.3,0.6,.467,0.5,0.6,1.1,0.4,0.3,0.1,0.2,0.7,0.8,,westma02
439,Joey Dorsey,25,HOU,PF,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.7,,dorsejo01
440,J.R. Giddens,23,BOS,SF,6,0,1.3,0.3,0.5,.667,0.0,0.0,,0.3,0.5,.667,.667,0.0,0.0,,0.3,0.2,0.5,0.0,0.2,0.0,0.2,0.2,0.7,,giddejr01
441,Sun Yue,23,LAL,SG,10,0,2.8,0.3,1.1,.273,0.0,0.6,.000,0.3,0.5,.600,.273,0.0,0.0,,0.0,0.0,0.0,0.2,0.1,0.1,0.3,1.0,0.6,,yuesu01
442,Michael Ruffin,32,POR,PF,11,0,3.2,0.2,0.6,.286,0.0,0.0,,0.2,0.6,.286,.286,0.2,0.2,1.000,0.5,0.5,1.0,0.0,0.3,0.1,0.2,0.6,0.5,,ruffimi01
443,Nathan Jawai,22,TOR,PF,6,0,3.2,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.0,0.3,0.5,0.3,,jawaina01
444,Mark Madsen,33,MIN,C,19,1,6.1,0.2,0.7,.214,0.0,0.0,,0.2,0.7,.214,.214,0.0,0.2,.000,0.5,0.4,0.9,0.2,0.1,0.1,0.2,0.9,0.3,,madsema01
445,Martell Webster,22,POR,SF,1,0,5.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,webstma02
,League Average,,,,,,,,,.459,,,.367,,,.485,.500,,,.771,,,,,,,,,,,-9999
